iter	Passed	Remaining
0	59	11746
1	59	5933
2	60	4004
3	61	3031
4	62	2446
5	63	2059
6	64	1780
7	65	1573
8	66	1410
9	67	1283
10	68	1184
11	70	1096
12	71	1023
13	72	960
14	73	904
15	74	857
16	75	814
17	76	773
18	77	740
19	78	709
20	79	681
21	81	655
22	82	631
23	83	609
24	84	589
25	85	571
26	86	556
27	87	540
28	89	524
29	90	511
30	91	496
31	92	483
32	92	470
33	93	458
34	94	446
35	95	435
36	96	425
37	97	415
38	98	405
39	99	396
40	100	387
41	101	380
42	102	372
43	103	365
44	104	358
45	105	352
46	106	345
47	106	338
48	107	332
49	108	325
50	109	320
51	110	314
52	111	308
53	112	303
54	113	298
55	114	293
56	114	288
57	115	283
58	116	278
59	117	274
60	118	270
61	119	266
62	120	262
63	121	258
64	122	254
65	123	250
66	124	247
67	125	243
68	126	240
69	127	236
70	128	232
71	129	229
72	129	226
73	130	222
74	131	219
75	132	216
76	133	213
77	134	210
78	135	207
79	136	205
80	137	202
81	138	199
82	139	196
83	140	193
84	141	190
85	142	188
86	142	185
87	143	182
88	144	180
89	145	177
90	146	175
91	147	173
92	148	170
93	149	168
94	149	165
95	150	163
96	151	161
97	153	159
98	153	157
99	154	154
100	155	152
101	156	150
102	157	148
103	157	145
104	159	143
105	159	141
106	160	139
107	161	137
108	162	135
109	163	133
110	164	131
111	165	129
112	165	127
113	166	125
114	167	124
115	169	122
116	170	120
117	171	119
118	172	117
119	173	115
120	174	113
121	174	111
122	175	110
123	176	108
124	177	106
125	178	104
126	179	103
127	180	101
128	180	99
129	181	97
130	182	96
131	184	94
132	185	93
133	186	91
134	187	90
135	187	88
136	188	86
137	189	85
138	190	83
139	191	82
140	192	80
141	193	79
142	194	77
143	195	75
144	195	74
145	196	72
146	197	71
147	198	69
148	199	68
149	200	66
150	201	65
151	203	64
152	204	62
153	205	61
154	205	59
155	206	58
156	207	56
157	208	55
158	209	54
159	210	52
160	211	51
161	212	49
162	213	48
163	214	47
164	215	45
165	216	44
166	217	42
167	218	41
168	219	40
169	220	38
170	221	37
171	223	36
172	224	35
173	225	33
174	226	32
175	227	31
176	228	29
177	229	28
178	229	26
179	230	25
180	231	24
181	233	23
182	234	21
183	236	20
184	237	19
185	238	17
186	239	16
187	240	15
188	241	14
189	242	12
190	244	11
191	245	10
192	246	8
193	247	7
194	248	6
195	250	5
196	251	3
197	253	2
198	254	1
199	255	0
