Fitur,Non-Fraud (Mean),Fraud (Mean),Non-Fraud (Median),Fraud (Median),Non-Fraud (Std),Fraud (Std)
DSRI,1.2435504317105595,1.1319833423745906,1.081991944662429,1.037866060128986,0.7728753021800484,0.6704105363979176
GMI,1.079644871689497,1.0372657246883814,0.9989939266032879,1.003799619797104,0.7023220795754058,0.39646203628639587
AQI,1.049982724981514,1.0284321684025808,0.9852510602822094,0.9735899688361629,0.4186005286783199,0.3663046466489925
SGI,1.1212429392345096,1.0437152800407312,1.038366310587778,1.0398172417201395,0.5154109696915388,0.2561025600821142
DEPI,1.09367802566347,1.1234352857919023,0.9865841798006513,1.012005414499136,0.5582456767799683,0.5768430979152634
SGAI,1.1023027255221252,1.1245395493786103,1.00908,1.0123376581763002,0.501050353552152,0.48035048465858
LVGI,1.004970728811448,0.9955506235387077,0.9987652460828225,0.9978940301642083,0.0634887741395831,0.055806104805777475
TATA,-0.00826624829039499,-0.019269465782964144,-0.009629686642193361,-0.026345498324363434,0.08876359405516944,0.08692240340743244
VolatilitasD-30,0.5018414361430035,0.47961240634593166,0.3984143742826212,0.3945724726413174,0.3736336776323619,0.36213382431567404
Negative_Tone,0.23494211215975036,0.2458300925350685,0.2316014234875445,0.2357644664653053,0.03634004030978404,0.06239159444233718
Positive_Tone,0.23562380961166168,0.25497809754652734,0.2343865484109386,0.24691307274653485,0.038073927288307545,0.06699189424321265
Subjectivity_Ratio,0.15046781798957126,0.16027772534644258,0.1501993797075764,0.1520177041938176,0.02005188435521997,0.04037359954684285
